Duración del matrimonio	Edad del esposo	Periodo	Total
Total	Total	2018	94112
Total	Total	2017	96922
Total	Total	2016	95501
Total	Total	2015	95685
Total	Total	2014	99882
Total	Total	2013	94885
Menos de 1 año	Total	2018	734
Menos de 1 año	Total	2017	820
Menos de 1 año	Total	2016	703
Menos de 1 año	Total	2015	755
Menos de 1 año	Total	2014	854
Menos de 1 año	Total	2013	807
De 1 año	Total	2018	2373
De 1 año	Total	2017	2379
De 1 año	Total	2016	1979
De 1 año	Total	2015	2028
De 1 año	Total	2014	2275
De 1 año	Total	2013	2299
De 2 a 4 años	Total	2018	10310
De 2 a 4 años	Total	2017	10230
De 2 a 4 años	Total	2016	9945
De 2 a 4 años	Total	2015	10526
De 2 a 4 años	Total	2014	11803
De 2 a 4 años	Total	2013	12382
De 5 a 9 años	Total	2018	18271
De 5 a 9 años	Total	2017	20061
De 5 a 9 años	Total	2016	20798
De 5 a 9 años	Total	2015	21429
De 5 a 9 años	Total	2014	23295
De 5 a 9 años	Total	2013	21923
De 10 a 14 años	Total	2018	16708
De 10 a 14 años	Total	2017	17122
De 10 a 14 años	Total	2016	17330
De 10 a 14 años	Total	2015	16710
De 10 a 14 años	Total	2014	17603
De 10 a 14 años	Total	2013	16435
De 15 a 19 años	Total	2018	14029
De 15 a 19 años	Total	2017	14145
De 15 a 19 años	Total	2016	14113
De 15 a 19 años	Total	2015	13648
De 15 a 19 años	Total	2014	13782
De 15 a 19 años	Total	2013	13013
20 y más años	Total	2018	31688
20 y más años	Total	2017	32164
20 y más años	Total	2016	30633
20 y más años	Total	2015	30590
20 y más años	Total	2014	30269
20 y más años	Total	2013	28027
